# partial on-axis charge: alternate (128,84)/(128,176), camera frozen west (csy=0)
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
128,84,128,0
128,176,128,0
