sx,sy,angle
6,255,40693
7,0,57740
10,0,57879
10,42,55338
10,139,49152
13,151,48376
13,214,42705
14,32,56278
16,122,49152
18,255,40160
19,117,49152
19,165,46762
19,245,40565
21,154,48034
27,255,39631
28,255,39480
30,255,39368
37,220,40828
38,61,55338
39,103,50450
51,0,60372
55,127,49152
56,255,37522
62,200,40301
63,0,61266
64,40,59351
69,255,36637
76,80,56749
78,94,54340
79,76,57785
82,242,35959
86,0,63146
89,216,36012
90,206,36406
90,255,34795
91,58,61501
93,192,36811
97,0,64079
98,0,64259
98,13,64079
98,255,34066
99,0,64259
101,0,64434
101,255,33871
102,0,64591
103,0,64605
103,255,33700
104,0,64760
104,255,33545
105,0,64924
105,255,33381
107,0,65083
107,255,33222
108,0,65083
110,0,65388
110,255,32917
111,0,65388
112,230,32768
112,255,32768
114,0,0
115,0,0
115,255,32768
116,0,0
116,255,32768
117,255,32768
119,0,0
119,255,32768
120,248,32768
120,255,32768
121,0,0
121,5,0
122,0,0
122,255,32768
123,0,0
123,255,32768
125,0,0
125,255,32768
126,255,32768
127,0,0
127,255,32768
128,0,0
128,255,32768
129,0,0
130,255,32768
131,201,32768
132,203,32768
132,255,32768
133,0,0
133,255,32768
134,255,32768
135,0,0
135,255,32768
136,0,0
136,22,0
136,255,32768
137,255,32768
138,71,0
138,255,32768
140,255,32768
141,0,0
141,255,32768
143,255,32768
145,255,32619
147,0,297
148,0,453
148,2,453
148,255,32314
149,0,453
149,255,32314
150,0,612
151,0,612
151,255,32155
152,0,776
153,0,931
153,255,31836
154,255,31822
155,0,1102
155,255,31665
156,255,31649
157,0,1277
159,155,23095
159,255,31310
161,15,1831
162,248,30936
163,255,30936
165,69,4836
171,120,16384
171,145,17127
172,0,2596
177,0,3023
178,255,29577
180,36,4753
187,255,28899
190,214,26582
194,0,4270
196,0,4510
197,255,28257
201,0,4917
217,36,8059
230,178,20419
231,0,6862
231,250,25642
238,0,7270
238,232,24180
241,255,25235
242,45,10198
243,255,25235
248,47,10557
248,210,22309
252,0,8059
253,255,24708
254,0,8059
255,0,8059
